t,R_P,R_Z,T_P,T_Z,T,U,I,C_p,C_V
37.5,40.3,39.3,124.835,122.432,123.634,12.97,123.2,22.226,22.026
39.0,40.8,39.6,126.037,123.153,124.595,12.98,123.2,18.524,18.32
40.5,41.4,40.0,127.481,124.114,125.798,12.98,123.2,18.512,18.302
42.0,42.0,40.6,128.926,125.556,127.241,12.98,123.3,22.219,22.004
43.5,42.5,41.3,130.13,127.24,128.685,12.99,123.3,22.224,22.003
45.0,43.0,42.2,131.336,129.408,130.372,12.99,123.3,18.508,18.282
46.5,43.6,43.1,132.783,131.577,132.18,12.99,123.3,18.496,18.263
48.0,44.2,44.0,134.231,133.748,133.99,12.99,123.3,13.861,13.621
49.5,45.0,44.9,136.163,135.922,136.043,16.54,157.0,17.961,17.711
51.0,46.0,46.0,138.581,138.581,138.581,16.56,157.1,19.972,19.713
52.5,46.9,47.3,140.76,141.729,141.244,16.57,157.2,19.977,19.709
54.0,47.8,48.5,142.94,144.638,143.789,16.58,157.2,22.467,22.19
55.5,48.6,49.9,144.881,148.037,146.459,16.58,157.2,14.961,14.673
57.0,49.8,51.2,147.794,151.198,149.496,19.02,180.3,19.659,19.359
58.5,51.0,52.6,150.711,154.607,152.659,19.05,180.5,19.686,19.374
60.0,52.2,54.0,153.632,158.021,155.827,19.06,180.6,21.471,21.149
61.5,53.3,55.2,156.314,160.952,158.633,19.07,180.7,21.468,21.136
63.0,54.4,56.2,158.998,163.398,161.198,19.08,180.8,19.676,19.332
64.5,55.6,57.1,161.93,165.601,163.765,19.09,180.8,21.449,21.095
66.0,56.7,57.9,164.621,167.561,166.091,19.1,180.9,21.446,21.082
67.5,57.8,58.6,167.316,169.277,168.296,19.1,180.9,19.634,19.259
69.0,59.0,59.2,170.259,170.749,170.504,21.0,187.3,22.322,21.936
70.5,60.2,59.8,173.205,172.223,172.714,21.0,198.2,20.218,19.819
72.0,61.6,60.4,176.648,173.697,175.173,21.0,198.3,23.566,23.157
73.5,62.8,61.0,179.604,175.172,177.388,21.0,198.4,23.547,23.126
75.0,64.0,61.6,182.563,176.648,179.605,21.0,198.5,23.528,23.096
76.5,65.2,62.4,185.526,178.618,182.072,21.0,198.5,23.497,23.053
78.0,66.4,63.5,188.492,181.329,184.911,21.0,198.5,25.602,25.144
79.5,67.5,64.8,191.215,184.538,187.876,21.0,198.6,25.584,25.113
81.0,68.6,66.6,193.942,188.987,191.464,21.0,198.6,23.423,22.936
82.5,69.8,68.6,196.919,193.942,195.43,21.0,198.6,23.393,22.89
84.0,71.0,70.4,199.901,198.41,199.155,21.0,198.6,23.362,22.844
85.5,72.2,72.2,202.886,202.886,202.886,21.0,198.6,21.536,21.001
87.0,73.5,74.0,206.125,207.372,206.748,21.0,198.7,23.311,22.761
88.5,74.7,75.5,209.119,211.116,210.117,21.0,198.7,25.399,24.835
90.0,75.8,76.9,211.866,214.617,213.241,21.0,198.8,21.475,20.894
91.5,77.1,78.1,215.117,217.621,216.369,21.0,198.8,21.445,20.848
93.0,78.4,79.2,218.373,220.379,219.376,21.0,198.8,23.201,22.59
94.5,79.6,80.1,221.382,222.637,222.01,21.0,198.8,27.809,27.184
96.0,80.6,81.0,223.893,224.898,224.395,21.0,198.8,21.365,20.725
97.5,81.9,81.9,227.161,227.161,227.161,21.0,198.8,25.217,24.564
99.0,83.0,82.5,229.929,228.67,229.3,21.0,198.8,25.188,24.521
100.5,84.1,83.1,232.701,230.181,231.441,21.0,198.9,23.072,22.39
102.0,85.3,83.9,235.729,232.197,233.963,21.0,198.9,27.654,26.959
103.5,86.3,84.5,238.255,233.71,235.982,21.0,198.9,25.112,24.401
105.0,87.4,85.5,241.036,236.234,238.635,21.0,198.9,25.083,24.354
106.5,88.5,87.1,243.821,240.277,242.049,21.0,198.9,27.561,26.814
108.0,89.5,88.9,246.356,244.835,245.595,21.0,198.9,27.532,26.768
109.5,90.5,90.5,248.893,248.893,248.893,21.0,199.0,22.928,22.143
111.0,91.7,92.6,251.941,254.23,253.085,21.0,199.0,22.899,22.094
112.5,92.9,94.0,254.993,257.794,256.394,21.0,199.0,22.87,22.047
114.0,94.1,95.0,258.049,260.343,259.196,21.0,199.0,22.841,22.001
115.5,95.3,95.9,261.109,262.64,261.874,21.0,199.1,22.824,21.966
117.0,96.5,96.6,264.172,264.428,264.3,21.0,199.1,22.795,21.92
118.5,97.7,97.4,267.24,266.473,266.856,21.0,199.1,27.323,26.433
120.0,98.7,98.0,269.799,268.007,268.903,21.0,199.1,24.811,23.904
121.5,99.8,98.9,272.617,270.311,271.464,21.0,199.1,24.783,23.858
123.0,100.9,99.9,275.439,272.874,274.156,21.0,199.2,27.245,26.304
124.5,101.9,100.7,278.006,274.925,276.466,21.0,199.2,27.217,26.26
126.0,102.9,101.6,280.577,277.236,278.906,21.0,199.2,24.715,23.741
127.5,104.0,102.6,283.407,279.805,281.606,21.0,199.2,27.157,26.165
129.0,105.0,103.8,285.984,282.893,284.438,21.1,199.3,27.272,26.261
130.5,106.0,105.5,288.562,287.273,287.917,21.1,199.3,27.244,26.215
132.0,107.0,106.9,291.144,290.885,291.015,21.1,199.4,27.229,26.183
133.5,108.0,108.2,293.728,294.245,293.986,21.1,199.4,22.665,21.6
135.0,109.2,109.5,296.832,297.609,297.221,21.1,199.5,24.708,23.628
136.5,110.3,109.8,299.681,298.386,299.034,21.1,199.6,24.693,23.6
138.0,111.4,109.5,302.534,297.609,300.071,21.1,199.6,0.0,0.0
